Id,Identifier,Brand,Name,Model,Alias,Announced,Year,Body type,Resolution,Max resolution,Other resolutions,Image ratio (w:h),Effective pixels (MP),Mp Total,Crop Factor,Pixel Pitch,Sensor name,Sensor size (mm),Sensor photo detectors (MP),Sensor Height,Sensor Width,Sensor type,Processor,ISO,Boosted ISO (min),Boosted ISO (max),Custom white balance,White balance presets,Custom white balance slots,Image stabilization,Uncompressed format,JPEG quality levels,Autofocus,Digital zoom,Manual focus,Number of focus points,Lens mount,Focal length multiplier,Articulated LCD,Screen size (Zoll),Screen Resolution,Touch screen,Screen type,Live view,Viewfinder type,Viewfinder coverage,Viewfinder magnification,Minimum shutter speed (sec),Maximum shutter speed (sec),Aperture priority,Shutter priority,Min Shutter Speed,Max Shutter Speed,Manual exposure mode,Subject / scene modes,Built-in flash,External flash,Flash modes,Continuous drive (fps),Self-timer,Metering modes,Exposure compensation,AE Bracketing,WB Bracketing,Microphone,Storage types,Storage included,USB,HDMI,Video,Max Video Resolution,Wireless,Remote control,Environmentally sealed,Battery,Battery description,Battery Life (CIPA),Weight in gram (inc. batteries),Dimensions,Orientation sensor,Timelapse recording,GPS,Wikipedia Link,ImageUrl
Q1030263,nikon_d5000,Nikon,Nikon D5000,D5000,,2009-04-14T00:00:00Z,2009,Compact SLR,,4288 x 2848,"3216 x 2136, 2144 x 1424","0,126388889",12,,,,APS-C ,23.6 x 15.8,13,,,CMOS,Expeed,"Auto, 200 - 3200 (plus 6400 with boost)",,6400,Yes ,12,5,No,RAW,"Fine, Normal, Basic",Contrast Detect (sensor)Phase DetectMulti-areaSelective single-pointSingleContinuousFace DetectionLive View,No,Yes,11,Nikon F,42856,Fully articulated,42918,230000,No,,Yes,Optical (pentamirror),"0,95",0.78,30,767011,Yes,Yes,,,Yes,Yes,Yes,Yes (Hot-shoe),"Auto, On, Off, Red-eye, Slow sync, Rear curtain",4,"Yes (2, 5, 10 or 20 sec)","Multi, Center-weighted, Spot","±5 (at 1/3 EV, 1/2 EV steps)","±2 (3 frames at 1/3 EV, 1/2 EV steps)",Yes (3 frames in either blue/amber or magenta/green axis),Mono,SD/SDHC card,None,USB 2.0,Yes,,,,Yes (Optional (ML-L3)),No,Battery Pack,Nikon EN-EL9a Lithium-Ion battery,0,590,127 x 104 x 80,Yes,Yes,Optional,https://en.wikipedia.org/wiki/Nikon_D5000,https://upload.wikimedia.org/wikipedia/commons/6/6d/Nikon_D5000.jpg
Q1038814,panasonic_dmcg1,Panasonic,Panasonic Lumix DMC-G1,Lumix DMC-G1,,2008-09-12T00:00:00Z,2008,SLR-style mirrorless,,4000 x 3000,"2816 x 2112, 2048 x 1536, 4000 x 2672, 2816 x 1880, 2048 x 1360, 4000 x 2248, 2816 x 1584, 1920 x 1080","4:3, 3:2, 16:9",12,,,,Four Thirds ,17.3 x 13,13,,,CMOS,,"Auto, 100, 200, 400, 800, 1600, (3200 with boost)",,3200,Yes,6,0,Optical,RAW,"Fine, Standard",Contrast Detect (sensor)Multi-areaSelective single-pointSingleContinuousLive View,Yes (4x),Yes,0,Micro Four Thirds,0,Fully articulated,3,460000,No,,Yes,Electronic,1,0.7,60,767011,Yes,Yes,,,Yes,Yes,Yes,Yes (Hot-shoe),"Auto, On, Off, Red-Eye, Slow Sync",3,Yes (2 or 10 sec),,±3 (at 1/3 EV steps),,,None,SD/MMC/SDHC card,None,USB 2.0,Yes,,,,Yes,No,Battery Pack,Lithium-Ion rechargeable battery & charger,0,360,124 x 84 x 45,No,No,No,https://en.wikipedia.org/wiki/Panasonic_Lumix_DMC-G1,https://upload.wikimedia.org/wikipedia/commons/4/43/Lumix_G1_IMG_2426.jpg
Q1039918,nikon_d5100,Nikon,Nikon D5100,D5100,,2011-04-05T00:00:00Z,2011,Compact SLR,,4928 x 3264,"3696 x 2448, 2464 x 1632","0,126388889",16,,,,APS-C ,23.6 x 15.7,0,,,CMOS,Expeed 2,"Auto, 100- 6400 (plus 12800, 25600 with boost)",,25600,Yes ,12,5,No,RAW,"Fine, Normal, Basic",Contrast Detect (sensor)Phase DetectMulti-areaCenterSelective single-pointTrackingSingleContinuousFace DetectionLive View,No,Yes,11,Nikon F,42856,Fully articulated,3,921000,No,TFT LCD monitor,Yes,Optical (pentamirror),"0,95",0.78,30,767011,Yes,Yes,,,Yes,Yes,Yes,Yes (Hot-shoe),"Auto, On, Off, Red-eye, Slow sync, Rear curtain",4,"Yes (2, 5, 10 or 20 sec)",,"±5 (at 1/3 EV, 1/2 EV steps)","±2 (3 frames at 1/3 EV, 1/2 EV steps)",Yes (3 frames in either blue/amber or magenta/green axis),Mono,SD/SDHC/SDXC,,USB 2.0,Yes,,,,Yes (Optional ML-L3),No,Battery Pack,Lithium-Ion  EN-EL14 rechargeable battery & charger,0,560,128 x 97 x 79,Yes,Yes,Optional,https://en.wikipedia.org/wiki/Nikon_D5100,https://upload.wikimedia.org/wikipedia/commons/5/5f/Nikon_D5100_18-55mm_front.jpg
Q1040045,nikon_d7000,Nikon,Nikon D7000,D7000,,2010-09-15T00:00:00Z,2010,Mid-size SLR,,4928 x 3264,"3696 x 2448, 2464 x 1632","0,126388889",16,,,,APS-C ,23.6 x 15.7,17,,,CMOS,Expeed 2,"100 - 6400 in 1, 1/2 or 1/3 EV steps (100 - 25600 with boost)",100,25600,Yes ,12,5,No,RAW,"Fine, Normal, Basic",Contrast Detect (sensor)Phase DetectMulti-areaCenterSelective single-pointTrackingSingleContinuousFace DetectionLive View,No,Yes,39,Nikon F,42856,Fixed,3,921000,No,TFT LCD monitor,Yes,Optical (pentaprism),1,0.95,30,2227981,Yes,Yes,,,Yes,Yes,Yes,"Yes (Hot-shoe, Wireless)","Auto, On, Off, Red-eye, Slow sync, Rear curtain",6,Yes (2 or 10 seconds),,"±5 (at 1/3 EV, 1/2 EV steps)","(3 frames at 1/3 EV, 1/2 EV, 1 EV, 2 EV steps)","Yes (2 or 3 frames in steps of 1, 2 or 3 mired)",Mono,SD/SDHC/SDXC,,USB 2.0,Yes,,,,"Yes (Optional, wired or wireless )",Yes (Weather and dust resistant),Battery Pack,Lithium-Ion  EN-EL15 rechargeable battery & charger,1050,780,132 x 105 x 77,Yes,Yes,Optional,https://en.wikipedia.org/wiki/Nikon_D7000,https://upload.wikimedia.org/wikipedia/commons/a/a1/Nikon_D7000%2B18-105_Lens.jpg
Q1041905,sony_dslra550,Sony,Sony Alpha 550,Alpha DSLR-A550,,2009-08-27T00:00:00Z,2009,Compact SLR,,4592 x 3056,"4592 x 2576, 3344 x 2224, 3344 x 1872, 2288 x 1520, 2288 x 1280","0,126575926",14,,,,APS-C ,23.4 x 15.6,15,,,CMOS,Bionz,"Auto, 200, 400, 800, 1600, 3200, 6400, 12800",,0,Yes ,6,1,Sensor-shift,RAW,"Fine, Standard",Phase DetectMulti-areaSelective single-pointSingleContinuousFace DetectionLive View,No,Yes,9,Sony/Minolta Alpha,42856,Tilting,3,921600,No,,Yes,Optical (pentamirror),"0,95",0.8,30,767011,Yes,Yes,,,Yes,Yes,Yes,"Yes (Hot-shoe, Wireless)","Auto, On, Off, Red-Eye, Slow Sync, High Speed Sync, Rear Curtain, Fill-in, Wireless",7,Yes (2 or 10 sec),,±2 (at 1/3 EV steps),"(3 frames at 1/3 EV, 2/3 EV steps)",Yes (3 frames in either blue/amber or magenta/green axis),None,"SD/ SDHC, Memory Stick Pro Duo/ Pro-HG Duo",None,USB 2.0,Yes,,,,Yes (Wired or Wireless (Optional)),No,Battery Pack,Lithium-Ion NP-FM500H rechargeable battery & charger,480,632,137 x 104 x 84,Yes,No,,https://en.wikipedia.org/wiki/Sony_Alpha_550,
Q1048177,nikon_d90,Nikon,Nikon D90,D90,,2008-08-27T00:00:00Z,2008,Mid-size SLR,,4288 x 2848,"3216 x 2136, 2144 x 1424","0,126388889",12,,,,APS-C ,23.6 x 15.8,13,,,CMOS,,"Auto, 200 - 3200 (plus 6400 with boost)",,6400,Yes ,12,5,No,RAW,"Fine, Normal, Basic",Contrast Detect (sensor)Phase DetectMulti-areaSelective single-pointSingleContinuousFace DetectionLive View,No,Yes,11,Nikon F,42856,Fixed,3,920000,No,Super Density TFT color LCD with wide-viewing angle,Yes,Optical (pentaprism),"0,96",0.96,30,767011,Yes,Yes,,,Yes,Yes,Yes,"Yes (Hot-shoe, Wireless)","Auto, On, Off, Front curtain, Rear curtain, Red-Eye, Slow Sync",42859,"Yes (2, 5, 10 or 20 sec)","Multi, Center-weighted, Spot","±5 (at 1/3 EV, 1/2 EV steps)","(2, 3 frames at 1/3 EV, 1/2 EV, 2/3 EV, 1 EV steps)",Yes (2 or 3 frames in either blue/amber or magenta/green axis),Mono,SD/SDHC,None,USB 2.0,Yes,,,,Yes (Optional ML-L3 or MC-DC2),No,Battery Pack,Lithium-Ion EN-EL3e rechargeable battery & charger,850,703,132 x 103 x 77,Yes,Yes (by USB cable and PC),Optional,https://en.wikipedia.org/wiki/Nikon_D90,https://upload.wikimedia.org/wikipedia/commons/1/1e/Nikon_D90P8.jpg
Q1057048,nikon_d40,Nikon,Nikon D40,D40,,2006-11-16T00:00:00Z,2006,Compact SLR,,3008 x 2000,"2256 x 1496, 1504 x 1000","0,126388889",6,,,,APS-C ,23.7 x 15.5,6,,,CCD,,"Auto, 200 - 1600 (plus 3200 with boost)",,3200,Yes,6,0,No,RAW,"Fine, Normal, Basic",Phase DetectMulti-areaSelective single-pointSingleContinuous,No,Yes,0,Nikon F,42856,,42857,230000,No,,No,Optical (pentamirror),"0,95",0.8,30,767011,Yes,Yes,,,,,Yes,Yes (hot-shoe),"Front curtain, Rear curtain, Red-Eye, Slow, Red-Eye Slow",42857,Yes (2 to 20 sec),,±5 (at 1/3 EV steps),,,,SD/SDHC card,None,USB 2.0,No,,,,Yes (Optional (ML-L3)),No,Battery Pack,Nikon EN-EL9 Lithium-Ion & charger included,0,522,124 x 94 x 64,Yes,Yes (by USB cable and PC),,https://en.wikipedia.org/wiki/Nikon_D40,https://upload.wikimedia.org/wikipedia/commons/b/b7/NikonD40.JPG
Q1057048,nikon_d40x,Nikon,Nikon D40,D40X,,2007-03-06T00:00:00Z,2007,Compact SLR,,3872 x 2592,"2896 x 1944, 1936 x 1296","0,126388889",10,,,,APS-C ,23.7 x 15.6,11,,,CCD,Expeed,"Auto, 100 - 1600 (plus 3200 with boost)",,3200,Yes,6,0,No,RAW,"Fine, Normal, Basic",Phase DetectMulti-areaSelective single-pointSingleContinuous,No,Yes,0,Nikon F,42856,No,42857,230000,No,,No,Optical (pentamirror),"0,95",0.8,30,767011,Yes,Yes,,,,,Yes,Yes (hot-shoe),"Front curtain, Rear curtain, Red-Eye, Slow, Red-Eye Slow",3,Yes (2 to 20 sec),,±5 (at 1/3 EV steps),,,None,SD/SDHC card,None,USB 2.0,No,,,,Yes (Optional (ML-L3)),No,Battery Pack,Nikon EN-EL9 Lithium-Ion & charger included,0,522,124 x 94 x 64,Yes,Yes (by USB cable and PC),,https://en.wikipedia.org/wiki/Nikon_D40,https://upload.wikimedia.org/wikipedia/commons/b/b7/NikonD40.JPG
Q1063853,nikon_d80,Nikon,Nikon D80,D80,,2006-08-09T00:00:00Z,2006,Mid-size SLR,,3872 x 2592,"2896 x 1944, 1936 x 1296","0,126388889",10,,,,APS-C ,23.6 x 15.8,11,,,CCD,,"Auto, 100 - 1600 (plus 3200 with boost)",,3200,Yes,6,0,No,RAW,"Fine, Normal, Basic",Phase DetectMulti-areaSelective single-pointSingleContinuous,No,Yes,0,Nikon F,42856,No,42857,230000,No,,No,Optical (pentaprism),"0,95",0.95,30,767011,Yes,Yes,,,,,Yes,"Yes (Hot-shoe, Wireless)","Auto, On, Off, Front curtain, Rear curtain, Red-Eye, Slow Sync, Wireless",3,"Yes (2, 5, 10 or 20 sec)",,"±5 (at 1/3 EV, 1/2 EV steps)",,,None,SD/SDHC card,None,USB 2.0,No,,,,Yes (Optional (ML-L3 or MC-DC1)),No,Battery Pack,Nikon EN-EL3e Lithium-Ion battery,0,668,132 x 103 x 77,Yes,No,,https://en.wikipedia.org/wiki/Nikon_D80,https://upload.wikimedia.org/wikipedia/commons/c/ca/Nikon_D80DSLR.jpg
Q1067227,oly_e330,Olympus,Olympus E-330,E-330,EVOLT E-330,2006-01-26T00:00:00Z,2006,Mid-size SLR,,3136 x 2352,"2560 x 1920, 1600 x 1200, 1280 x 960, 1024 x 768, 640 x 480","0,16875",7,,,,Four Thirds ,17.3 x 13,8,,,CMOS,,"Auto, 100, 200, 400, (800 & 1600 as 'boost'), 1/3 EV steps",,1600,Yes,8,0,No,Unknown,"Standard, High, Super High",Phase DetectMulti-areaSelective single-pointSingleContinuous,No,Yes (lens focus by wire),3,Four Thirds,2,No,42857,215000,No,,Yes,Optical (pentamirror),"0,95",0.93,60,767011,Yes,Yes,,,,,Yes,Yes (Olympus hot-shoe),"Auto, Auto FP, Manual, Red-Eye",3,Yes (2 or 12 sec),,"±5 (at 1/3 EV, 1/2 EV, 1 EV steps)",,,None,"Compact Flash (Type I or II), xD Picture Card",None,USB 1.0,No,,,,Yes (Wire/ InfraRed),No,Battery Pack,Lithium-Ion rechargeable,0,616,140 x 87 x 72,Yes,No,No,https://en.wikipedia.org/wiki/Olympus_E-330,https://upload.wikimedia.org/wikipedia/commons/8/80/Olympus_E-330_frontal.JPG
